CustomerID,Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Gender_Male,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Quarterly,Tenure_Age_Ratio,Spend_per_Usage,Support_Calls_per_Tenure
310240,48,44,23.0,0,16.0,741.67,30,0.0,1,1,0,0,0.8979591836734694,30.902916666666666,0.0
310241,48,27,24.0,1,7.0,523.37,15,0.0,0,1,0,1,0.5510204081632653,20.9348,0.03571428571428571
310242,42,47,14.0,3,18.0,555.51,7,0.0,0,0,0,1,1.0930232558139534,37.034,0.0625
310243,44,11,9.0,1,8.0,942.32,27,0.0,1,0,1,1,0.24444444444444444,94.232,0.08333333333333333
310244,31,46,6.0,2,17.0,685.12,19,0.0,1,0,0,0,1.4375,97.87428571428572,0.0425531914893617
310245,48,43,17.0,1,14.0,622.85,3,0.0,1,0,0,0,0.8775510204081632,34.60277777777778,0.022727272727272728
310246,33,3,27.0,2,1.0,836.99,14,0.0,1,1,0,0,0.08823529411764706,29.892500000000002,0.5
310247,36,42,9.0,3,4.0,764.21,6,0.0,1,0,1,0,1.135135135135135,76.421,0.06976744186046512
310248,34,27,26.0,3,13.0,642.17,7,0.0,1,0,0,1,0.7714285714285715,23.784074074074073,0.10714285714285714
310249,25,10,12.0,2,4.0,665.1,19,0.0,1,0,1,0,0.38461538461538464,51.16153846153846,0.18181818181818182
310250,38,52,24.0,3,16.0,564.99,21,0.0,1,0,1,0,1.3333333333333333,22.5996,0.05660377358490566
310251,31,17,12.0,3,19.0,775.81,10,0.0,0,0,1,1,0.53125,59.677692307692304,0.16666666666666666
310252,47,59,22.0,3,15.0,885.36,26,0.0,1,1,0,1,1.2291666666666667,38.49391304347826,0.05
310253,27,26,1.0,0,16.0,516.17,20,0.0,1,0,0,1,0.9285714285714286,258.085,0.0
310254,50,52,26.0,4,17.0,787.1,30,0.0,1,0,1,1,1.0196078431372548,29.151851851851852,0.07547169811320754
310255,50,54,4.0,3,15.0,918.41,27,0.0,1,1,0,0,1.0588235294117647,183.682,0.05454545454545454
310256,46,24,29.0,1,12.0,793.17,26,0.0,1,0,1,0,0.5106382978723404,26.439,0.04
310257,19,2,30.0,1,16.0,601.84,2,0.0,0,0,1,0,0.1,19.414193548387097,0.3333333333333333
