CustomerID,Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Gender_Male,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Monthly,Contract Length_Quarterly,Tenure_Age_Ratio,Spend_per_Usage,Support_Calls_per_Tenure
411282,31,37,2.0,2,19.0,661.66,7,0.0,1,0,1,0,0,1.15625,220.5533333333333,0.05263157894736842
411283,22,10,16.0,1,7.0,879.15,7,0.0,0,0,0,0,0,0.43478260869565216,51.71470588235294,0.09090909090909091
411284,30,23,20.0,2,7.0,920.67,8,0.0,0,1,0,0,1,0.7419354838709677,43.84142857142857,0.08333333333333333
411285,49,9,15.0,3,15.0,514.27,11,0.0,0,0,0,0,1,0.18,32.141875,0.3
411286,41,18,15.0,1,14.0,779.03,24,0.0,1,1,0,0,1,0.42857142857142855,48.689375,0.05263157894736842
411287,25,37,29.0,1,0.0,707.6,2,0.0,1,0,0,0,1,1.4230769230769231,23.586666666666666,0.02631578947368421
411288,43,50,29.0,4,10.0,964.67,11,0.0,1,0,0,0,1,1.1363636363636365,32.15566666666667,0.0784313725490196
411289,32,56,12.0,2,10.0,589.38,20,0.0,1,1,0,0,1,1.696969696969697,45.33692307692308,0.03508771929824561
411290,40,57,8.0,2,0.0,510.79,7,0.0,1,0,1,0,1,1.3902439024390243,56.754444444444445,0.034482758620689655
411291,39,23,28.0,0,18.0,666.34,12,0.0,0,1,0,0,0,0.575,22.977241379310346,0.0
411292,42,43,5.0,1,13.0,766.37,5,0.0,0,0,1,0,0,1.0,127.72833333333334,0.022727272727272728
411293,23,45,15.0,2,6.0,805.52,27,0.0,1,0,1,0,1,1.875,50.345,0.043478260869565216
411294,26,54,16.0,2,13.0,756.49,23,0.0,1,1,0,0,1,2.0,44.49941176470588,0.03636363636363636
411295,42,18,27.0,3,6.0,761.18,3,0.0,0,1,0,0,0,0.4186046511627907,27.185,0.15789473684210525
411296,20,29,5.0,1,17.0,539.22,26,0.0,1,0,0,0,1,1.380952380952381,89.87,0.03333333333333333
411297,20,31,29.0,1,6.0,958.24,9,0.0,1,0,0,0,0,1.4761904761904763,31.941333333333333,0.03125
411298,33,2,2.0,2,10.0,770.03,17,0.0,1,1,0,0,0,0.058823529411764705,256.6766666666667,0.6666666666666666
411299,42,15,28.0,2,1.0,674.44,18,0.0,1,1,0,0,0,0.3488372093023256,23.256551724137932,0.125
411300,39,43,6.0,1,9.0,861.51,17,0.0,1,0,1,0,1,1.075,123.07285714285715,0.022727272727272728
411301,21,40,23.0,2,5.0,807.73,14,0.0,0,1,0,0,1,1.8181818181818181,33.65541666666667,0.04878048780487805
411302,47,31,15.0,1,9.0,577.3,5,0.0,1,0,0,0,1,0.6458333333333334,36.08125,0.03125
411303,34,40,7.0,0,11.0,969.5,7,0.0,1,0,1,0,1,1.1428571428571428,121.1875,0.0
411304,41,29,9.0,2,5.0,765.6,1,0.0,0,0,0,0,0,0.6904761904761905,76.56,0.06666666666666667
411305,46,57,30.0,1,6.0,870.96,9,0.0,1,1,0,0,0,1.2127659574468086,28.095483870967744,0.017241379310344827
411306,38,28,3.0,2,0.0,542.93,1,0.0,1,1,0,0,1,0.717948717948718,135.7325,0.06896551724137931
411307,25,29,5.0,0,1.0,615.44,1,0.0,1,0,0,0,1,1.1153846153846154,102.57333333333334,0.0
411308,41,47,11.0,3,9.0,888.1,13,0.0,1,0,0,0,0,1.119047619047619,74.00833333333334,0.0625
