CustomerID,Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Gender_Male,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Monthly,Contract Length_Quarterly,Tenure_Age_Ratio,Spend_per_Usage,Support_Calls_per_Tenure
2,30,39,14.0,5,18.0,932.0,17,1.0,0,0,1,0,0,1.2580645161290323,62.13333333333333,0.125
3,65,49,1.0,10,8.0,557.0,6,1.0,0,0,0,1,0,0.7424242424242424,278.5,0.2
4,55,14,4.0,6,18.0,185.0,3,1.0,0,0,0,0,1,0.25,37.0,0.4
5,58,38,21.0,7,7.0,396.0,29,1.0,1,0,1,1,0,0.6440677966101694,18.0,0.1794871794871795
6,23,32,20.0,5,8.0,617.0,20,1.0,1,0,0,1,0,1.3333333333333333,29.38095238095238,0.15151515151515152
8,51,33,25.0,9,26.0,129.0,8,1.0,1,1,0,0,0,0.6346153846153846,4.961538461538462,0.2647058823529412
9,58,49,12.0,3,16.0,821.0,24,1.0,0,0,1,0,1,0.8305084745762712,63.15384615384615,0.06
10,55,37,8.0,4,15.0,445.0,30,1.0,0,1,0,0,0,0.6607142857142857,49.44444444444444,0.10526315789473684
11,39,12,5.0,7,4.0,969.0,13,1.0,1,0,1,0,1,0.3,161.5,0.5384615384615384
12,64,3,25.0,2,11.0,415.0,29,1.0,0,0,1,0,1,0.046153846153846156,15.961538461538462,0.5
13,29,18,9.0,0,30.0,930.0,18,1.0,1,1,0,0,1,0.6,93.0,0.0
14,52,21,6.0,3,26.0,830.0,19,1.0,0,1,0,1,0,0.39622641509433965,118.57142857142857,0.13636363636363635
15,22,41,17.0,10,25.0,265.0,23,1.0,1,0,0,0,1,1.7826086956521738,14.722222222222221,0.23809523809523808
16,48,35,25.0,1,13.0,518.0,17,1.0,0,0,0,0,0,0.7142857142857143,19.923076923076923,0.027777777777777776
17,24,4,9.0,4,22.0,204.0,4,1.0,1,0,1,0,1,0.16,20.4,0.8
18,49,56,17.0,2,30.0,975.0,17,1.0,1,0,1,0,1,1.12,54.166666666666664,0.03508771929824561
19,19,38,23.0,7,11.0,978.0,3,1.0,0,0,0,0,1,1.9,40.75,0.1794871794871795
20,47,41,14.0,1,5.0,151.0,19,1.0,1,1,0,0,0,0.8541666666666666,10.066666666666666,0.023809523809523808
21,24,44,13.0,5,4.0,669.0,13,1.0,1,1,0,1,0,1.76,47.785714285714285,0.1111111111111111
22,42,15,16.0,2,14.0,262.0,16,1.0,1,1,0,0,1,0.3488372093023256,15.411764705882353,0.125
23,57,55,27.0,3,3.0,212.0,10,1.0,0,0,0,0,0,0.9482758620689655,7.571428571428571,0.05357142857142857
24,39,43,2.0,4,15.0,577.0,6,1.0,0,0,0,1,0,1.075,192.33333333333334,0.09090909090909091
25,27,44,28.0,8,18.0,436.0,30,1.0,1,0,1,0,0,1.5714285714285714,15.03448275862069,0.17777777777777778
26,27,52,8.0,7,3.0,434.0,19,1.0,0,0,1,1,0,1.8571428571428572,48.22222222222222,0.1320754716981132
27,59,26,21.0,0,10.0,822.0,17,1.0,1,1,0,1,0,0.43333333333333335,37.36363636363637,0.0
28,21,2,21.0,7,22.0,435.0,21,1.0,1,0,0,0,0,0.09090909090909091,19.772727272727273,2.3333333333333335
29,60,18,16.0,8,28.0,830.0,22,1.0,0,0,0,0,1,0.29508196721311475,48.8235294117647,0.42105263157894735
30,65,29,29.0,0,5.0,857.0,18,1.0,0,1,0,0,0,0.4393939393939394,28.566666666666666,0.0
31,35,38,20.0,6,2.0,574.0,19,1.0,0,1,0,0,0,1.0555555555555556,27.333333333333332,0.15384615384615385
32,18,37,15.0,8,6.0,800.0,29,1.0,1,1,0,1,0,1.9473684210526316,50.0,0.21052631578947367
33,56,59,5.0,10,27.0,424.0,2,1.0,0,0,1,0,1,1.0350877192982457,70.66666666666667,0.16666666666666666
35,35,40,27.0,8,28.0,232.0,17,1.0,1,1,0,1,0,1.1111111111111112,8.285714285714286,0.1951219512195122
36,29,43,12.0,2,10.0,289.0,6,1.0,1,1,0,0,0,1.4333333333333333,22.23076923076923,0.045454545454545456
37,20,37,24.0,7,5.0,371.0,20,1.0,1,0,1,0,0,1.7619047619047619,14.84,0.18421052631578946
38,63,51,3.0,5,12.0,288.0,15,1.0,0,0,1,0,0,0.796875,72.0,0.09615384615384616
39,22,39,8.0,2,4.0,939.0,21,1.0,0,0,1,0,0,1.6956521739130435,104.33333333333333,0.05
40,25,53,2.0,10,13.0,336.0,13,1.0,0,0,0,0,1,2.0384615384615383,112.0,0.18518518518518517
42,28,24,24.0,8,6.0,572.0,28,1.0,1,0,1,1,0,0.8275862068965517,22.88,0.32
43,51,30,4.0,10,29.0,770.0,23,1.0,1,1,0,1,0,0.5769230769230769,154.0,0.3225806451612903
44,32,6,22.0,3,12.0,413.0,20,1.0,1,0,0,1,0,0.18181818181818182,17.956521739130434,0.42857142857142855
45,38,28,23.0,6,17.0,993.0,28,1.0,0,0,0,0,1,0.717948717948718,41.375,0.20689655172413793
46,52,17,26.0,4,6.0,871.0,26,1.0,1,0,0,1,0,0.32075471698113206,32.25925925925926,0.2222222222222222
48,37,30,30.0,7,13.0,929.0,13,1.0,1,0,0,0,1,0.7894736842105263,29.967741935483872,0.22580645161290322
49,31,4,29.0,7,22.0,488.0,6,1.0,0,0,1,0,0,0.125,16.266666666666666,1.4
50,30,24,7.0,6,13.0,874.0,3,1.0,1,0,1,0,0,0.7741935483870968,109.25,0.24
51,23,26,21.0,7,24.0,988.0,20,1.0,0,0,0,0,1,1.0833333333333333,44.90909090909091,0.25925925925925924
52,35,37,11.0,7,13.0,631.0,7,1.0,1,0,1,1,0,1.0277777777777777,52.583333333333336,0.18421052631578946
53,21,56,11.0,9,9.0,626.0,1,1.0,0,0,0,0,1,2.5454545454545454,52.166666666666664,0.15789473684210525
54,56,44,11.0,2,11.0,583.0,9,1.0,0,0,1,0,0,0.7719298245614035,48.583333333333336,0.044444444444444446
55,53,18,21.0,1,23.0,717.0,15,1.0,0,0,0,0,1,0.3333333333333333,32.59090909090909,0.05263157894736842
56,41,18,27.0,10,3.0,111.0,19,1.0,0,0,0,1,0,0.42857142857142855,3.9642857142857144,0.5263157894736842
57,33,6,12.0,7,29.0,869.0,10,1.0,1,0,1,0,1,0.17647058823529413,66.84615384615384,1.0
58,18,55,29.0,9,21.0,296.0,22,1.0,1,0,1,0,1,2.8947368421052633,9.866666666666667,0.16071428571428573
59,26,60,9.0,10,1.0,643.0,2,1.0,1,0,1,1,0,2.2222222222222223,64.3,0.16393442622950818
60,42,7,9.0,1,11.0,196.0,18,1.0,0,0,0,0,0,0.16279069767441862,19.6,0.125
