CustomerID,Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Gender_Male,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Monthly,Contract Length_Quarterly,Tenure_Age_Ratio,Spend_per_Usage,Support_Calls_per_Tenure
104057,28,36,8.0,8,16.0,880.0,16,1.0,0,0,0,1,0,1.2413793103448276,97.77777777777777,0.21621621621621623
104058,30,18,6.0,7,19.0,658.0,19,1.0,1,0,1,1,0,0.5806451612903226,94.0,0.3684210526315789
104059,63,49,20.0,5,3.0,753.0,13,1.0,0,0,1,1,0,0.765625,35.857142857142854,0.1
104060,42,32,15.0,7,27.0,787.0,7,1.0,1,0,1,0,0,0.7441860465116279,49.1875,0.21212121212121213
104061,26,42,22.0,5,17.0,149.0,28,1.0,1,1,0,1,0,1.5555555555555556,6.478260869565218,0.11627906976744186
104062,42,9,26.0,8,1.0,339.0,15,1.0,1,0,1,1,0,0.20930232558139536,12.555555555555555,0.8
104063,36,32,22.0,8,11.0,557.0,11,1.0,0,0,0,1,0,0.8648648648648649,24.217391304347824,0.24242424242424243
104064,35,25,6.0,1,30.0,299.0,4,1.0,0,0,1,0,1,0.6944444444444444,42.714285714285715,0.038461538461538464
104065,35,40,2.0,7,5.0,718.0,11,1.0,1,0,0,1,0,1.1111111111111112,239.33333333333334,0.17073170731707318
104066,30,3,7.0,3,13.0,151.0,21,1.0,0,1,0,1,0,0.0967741935483871,18.875,0.75
104067,37,41,7.0,3,24.0,770.0,20,1.0,1,0,0,1,0,1.0789473684210527,96.25,0.07142857142857142
104068,45,25,2.0,7,24.0,506.0,29,1.0,0,0,1,0,1,0.5434782608695652,168.66666666666666,0.2692307692307692
104069,18,10,18.0,0,4.0,654.0,6,1.0,0,1,0,1,0,0.5263157894736842,34.421052631578945,0.0
104070,40,41,3.0,3,26.0,664.0,18,1.0,1,0,1,0,1,1.0,166.0,0.07142857142857142
104071,54,3,12.0,3,24.0,359.0,17,1.0,1,1,0,0,0,0.05454545454545454,27.615384615384617,0.75
104072,65,28,4.0,8,23.0,860.0,26,1.0,0,0,0,1,0,0.42424242424242425,172.0,0.27586206896551724
104073,44,54,9.0,8,13.0,515.0,28,1.0,0,0,1,0,1,1.2,51.5,0.14545454545454545
104074,21,16,28.0,10,19.0,381.0,13,1.0,1,0,1,0,0,0.7272727272727273,13.137931034482758,0.5882352941176471
104075,29,26,10.0,10,12.0,302.0,2,1.0,1,0,0,1,0,0.8666666666666667,27.454545454545453,0.37037037037037035
104076,43,55,9.0,9,17.0,336.0,6,1.0,0,0,1,0,1,1.25,33.6,0.16071428571428573
104077,42,60,17.0,3,20.0,859.0,14,1.0,0,0,1,1,0,1.3953488372093024,47.72222222222222,0.04918032786885246
104078,39,32,1.0,2,19.0,407.0,25,1.0,1,0,1,0,0,0.8,203.5,0.06060606060606061
104079,54,39,1.0,3,0.0,815.0,19,1.0,0,0,1,0,0,0.7090909090909091,407.5,0.075
104080,22,12,24.0,5,11.0,387.0,29,1.0,1,1,0,1,0,0.5217391304347826,15.48,0.38461538461538464
104081,55,9,7.0,10,6.0,181.0,14,1.0,0,0,1,0,0,0.16071428571428573,22.625,1.0
104082,59,19,24.0,0,25.0,160.0,6,1.0,1,0,1,0,0,0.31666666666666665,6.4,0.0
104083,45,32,7.0,4,2.0,278.0,24,1.0,1,0,0,0,1,0.6956521739130435,34.75,0.12121212121212122
104084,61,56,20.0,7,3.0,545.0,13,1.0,1,1,0,0,0,0.9032258064516129,25.952380952380953,0.12280701754385964
104086,53,13,19.0,2,9.0,268.0,2,1.0,1,0,0,0,1,0.24074074074074073,13.4,0.14285714285714285
104087,53,31,20.0,8,27.0,215.0,8,1.0,1,0,1,0,0,0.5740740740740741,10.238095238095237,0.25
104088,31,52,30.0,1,17.0,591.0,15,1.0,0,1,0,1,0,1.625,19.06451612903226,0.018867924528301886
104089,24,21,1.0,0,17.0,195.0,19,1.0,0,0,1,1,0,0.84,97.5,0.0
104090,23,20,6.0,9,18.0,156.0,5,1.0,1,1,0,0,0,0.8333333333333334,22.285714285714285,0.42857142857142855
104091,47,54,20.0,1,4.0,858.0,16,1.0,0,1,0,0,0,1.125,40.857142857142854,0.01818181818181818
104092,55,36,8.0,7,28.0,745.0,16,1.0,0,0,1,0,1,0.6428571428571429,82.77777777777777,0.1891891891891892
104094,53,58,8.0,0,0.0,114.0,21,1.0,1,1,0,0,0,1.0740740740740742,12.666666666666666,0.0
104095,22,10,17.0,8,0.0,302.0,9,1.0,1,1,0,1,0,0.43478260869565216,16.77777777777778,0.7272727272727273
104096,18,15,14.0,9,24.0,670.0,29,1.0,0,0,1,1,0,0.7894736842105263,44.666666666666664,0.5625
104097,34,49,8.0,9,0.0,618.0,1,1.0,1,0,1,1,0,1.4,68.66666666666667,0.18
104098,29,22,27.0,0,24.0,206.0,4,1.0,0,0,0,1,0,0.7333333333333333,7.357142857142857,0.0
104099,35,42,11.0,3,7.0,495.0,24,1.0,0,1,0,1,0,1.1666666666666667,41.25,0.06976744186046512
104100,56,22,23.0,8,10.0,177.0,23,1.0,1,1,0,0,0,0.38596491228070173,7.375,0.34782608695652173
104101,39,6,25.0,0,18.0,701.0,24,1.0,0,1,0,0,0,0.15,26.96153846153846,0.0
104102,29,13,16.0,10,10.0,820.0,5,1.0,1,1,0,1,0,0.43333333333333335,48.23529411764706,0.7142857142857143
104103,39,36,2.0,7,6.0,880.0,2,1.0,1,0,0,1,0,0.9,293.3333333333333,0.1891891891891892
104104,31,53,5.0,6,20.0,100.0,13,1.0,0,0,0,1,0,1.65625,16.666666666666668,0.1111111111111111
104105,39,45,22.0,6,10.0,955.0,26,1.0,1,1,0,1,0,1.125,41.52173913043478,0.13043478260869565
104106,27,46,18.0,8,6.0,158.0,1,1.0,0,0,0,0,1,1.6428571428571428,8.31578947368421,0.1702127659574468
