Age,Churn,Contract Length_Monthly,Contract Length_Quarterly,CustomerID,Gender_Male,Last Interaction,Payment Delay,Subscription Type_Premium,Subscription Type_Standard,Support Calls,Tenure,Total Spend,Usage Frequency,Tenure_Age_Ratio,Spend_per_Usage,Support_Calls_per_Tenure
45,0.0,0,1,403865,1,9,17.0,1,0,3,3,613.3,16.0,0.06521739130434782,36.07647058823529,0.75
49,0.0,0,0,403866,1,20,4.0,0,0,4,15,576.97,12.0,0.3,44.38230769230769,0.25
35,0.0,0,1,403867,1,25,9.0,1,0,2,26,763.6,17.0,0.7222222222222222,42.422222222222224,0.07407407407407407
41,0.0,0,0,403868,0,11,11.0,0,1,3,51,696.06,6.0,1.2142857142857142,99.43714285714285,0.057692307692307696
44,0.0,0,0,403869,0,9,6.0,1,0,1,3,565.33,15.0,0.06666666666666667,35.333125,0.25
26,0.0,0,0,403870,0,1,2.0,1,0,2,2,790.96,16.0,0.07407407407407407,46.527058823529416,0.6666666666666666
48,0.0,0,1,403871,0,8,12.0,0,0,1,9,745.44,3.0,0.1836734693877551,186.36,0.1
50,0.0,0,1,403872,1,28,5.0,0,0,0,17,661.14,10.0,0.3333333333333333,60.10363636363636,0.0
47,0.0,0,0,403873,0,6,12.0,1,0,3,58,742.18,3.0,1.2083333333333333,185.545,0.05084745762711865
49,0.0,0,1,403874,0,4,20.0,0,0,4,41,626.73,12.0,0.82,48.21,0.09523809523809523
50,0.0,0,1,403875,0,10,8.0,1,0,3,56,655.83,20.0,1.0980392156862746,31.23,0.05263157894736842
28,0.0,0,0,403876,1,6,3.0,1,0,1,25,827.43,20.0,0.8620689655172413,39.40142857142857,0.038461538461538464
44,0.0,0,1,403877,1,23,15.0,1,0,3,47,538.91,21.0,1.0444444444444445,24.49590909090909,0.0625
34,0.0,0,1,403878,0,15,2.0,0,1,0,49,687.86,1.0,1.4,343.93,0.0
49,0.0,0,1,403879,0,7,15.0,0,1,4,51,984.15,20.0,1.02,46.864285714285714,0.07692307692307693
45,0.0,0,0,403880,1,29,13.0,0,0,1,20,884.81,19.0,0.43478260869565216,44.2405,0.047619047619047616
26,0.0,0,0,403881,1,26,4.0,0,1,2,48,698.14,10.0,1.7777777777777777,63.46727272727273,0.04081632653061224
37,0.0,0,0,403882,0,3,6.0,1,0,0,46,849.22,26.0,1.2105263157894737,31.452592592592595,0.0
42,0.0,0,0,403883,0,12,16.0,0,0,3,41,607.94,1.0,0.9534883720930233,303.97,0.07142857142857142
47,0.0,0,1,403884,1,29,4.0,1,0,3,57,985.34,12.0,1.1875,75.79538461538462,0.05172413793103448
19,0.0,0,0,403885,1,2,18.0,0,0,1,48,550.82,16.0,2.4,32.40117647058824,0.02040816326530612
30,0.0,0,1,403886,1,14,8.0,0,1,3,39,789.7,23.0,1.2580645161290323,32.90416666666667,0.075
43,0.0,0,0,403887,0,4,5.0,1,0,2,10,909.65,26.0,0.22727272727272727,33.69074074074074,0.18181818181818182
34,0.0,0,0,403888,1,6,11.0,0,1,3,59,777.22,12.0,1.6857142857142857,59.78615384615385,0.05
31,0.0,0,0,403889,1,10,5.0,0,1,3,5,710.04,28.0,0.15625,24.484137931034482,0.5
38,0.0,0,1,403890,1,16,8.0,0,1,3,4,744.37,29.0,0.10256410256410256,24.812333333333335,0.6
41,0.0,0,0,403891,0,10,1.0,1,0,3,48,647.13,26.0,1.1428571428571428,23.967777777777776,0.061224489795918366
37,0.0,0,0,403892,1,17,3.0,0,0,3,17,791.7,28.0,0.4473684210526316,27.3,0.16666666666666666
34,0.0,0,1,403893,1,24,9.0,0,0,2,31,988.55,30.0,0.8857142857142857,31.888709677419353,0.0625
48,0.0,0,0,403894,1,11,1.0,0,0,3,20,878.72,17.0,0.40816326530612246,48.81777777777778,0.14285714285714285
42,0.0,0,1,403895,1,10,4.0,1,0,1,27,554.62,8.0,0.627906976744186,61.62444444444444,0.03571428571428571
38,0.0,0,0,403896,0,7,9.0,0,1,2,30,846.86,17.0,0.7692307692307693,47.04777777777778,0.06451612903225806
34,0.0,0,0,403897,1,27,6.0,0,1,0,48,979.78,19.0,1.3714285714285714,48.989,0.0
34,0.0,0,0,403898,1,27,10.0,0,1,2,47,538.47,25.0,1.3428571428571427,20.710384615384616,0.041666666666666664
35,0.0,0,1,403899,0,14,16.0,1,0,2,40,947.93,22.0,1.1111111111111112,41.21434782608696,0.04878048780487805
