Age,Churn,Contract Length_Monthly,Contract Length_Quarterly,CustomerID,Gender_Male,Last Interaction,Payment Delay,Subscription Type_Premium,Subscription Type_Standard,Support Calls,Tenure,Total Spend,Usage Frequency,Tenure_Age_Ratio,Spend_per_Usage,Support_Calls_per_Tenure,Spending_Group,Tenure_Group
30,1.0,0,0,2,0,17,18.0,0,1,5,39,932.0,14.0,1.2580645161290323,62.13333333333333,0.125,3,3
65,1.0,1,0,3,0,6,8.0,0,0,10,49,557.0,1.0,0.7424242424242424,278.5,0.2,2,3
55,1.0,0,1,4,0,3,18.0,0,0,6,14,185.0,4.0,0.25,37.0,0.4,0,1
58,1.0,1,0,5,1,29,7.0,0,1,7,38,396.0,21.0,0.6440677966101694,18.0,0.1794871794871795,1,3
23,1.0,1,0,6,1,20,8.0,0,0,5,32,617.0,20.0,1.3333333333333333,29.38095238095238,0.15151515151515152,2,2
51,1.0,0,0,8,1,8,26.0,1,0,9,33,129.0,25.0,0.6346153846153846,4.961538461538462,0.2647058823529412,0,2
58,1.0,0,1,9,0,24,16.0,0,1,3,49,821.0,12.0,0.8305084745762712,63.15384615384615,0.06,3,3
55,1.0,0,0,10,0,30,15.0,1,0,4,37,445.0,8.0,0.6607142857142857,49.44444444444444,0.10526315789473684,1,3
39,1.0,0,1,11,1,13,4.0,0,1,7,12,969.0,5.0,0.3,161.5,0.5384615384615384,3,0
64,1.0,0,1,12,0,29,11.0,0,1,2,3,415.0,25.0,0.046153846153846156,15.961538461538462,0.5,1,0
29,1.0,0,1,13,1,18,30.0,1,0,0,18,930.0,9.0,0.6,93.0,0.0,3,1
52,1.0,1,0,14,0,19,26.0,1,0,3,21,830.0,6.0,0.39622641509433965,118.57142857142857,0.13636363636363635,3,1
22,1.0,0,1,15,1,23,25.0,0,0,10,41,265.0,17.0,1.7826086956521738,14.722222222222221,0.23809523809523808,0,3
48,1.0,0,0,16,0,17,13.0,0,0,1,35,518.0,25.0,0.7142857142857143,19.923076923076923,0.027777777777777776,1,2
24,1.0,0,1,17,1,4,22.0,0,1,4,4,204.0,9.0,0.16,20.4,0.8,0,0
49,1.0,0,1,18,1,17,30.0,0,1,2,56,975.0,17.0,1.12,54.166666666666664,0.03508771929824561,3,3
19,1.0,0,1,19,0,3,11.0,0,0,7,38,978.0,23.0,1.9,40.75,0.1794871794871795,3,3
47,1.0,0,0,20,1,19,5.0,1,0,1,41,151.0,14.0,0.8541666666666666,10.066666666666666,0.023809523809523808,0,3
24,1.0,1,0,21,1,13,4.0,1,0,5,44,669.0,13.0,1.76,47.785714285714285,0.1111111111111111,2,3
42,1.0,0,1,22,1,16,14.0,1,0,2,15,262.0,16.0,0.3488372093023256,15.411764705882353,0.125,0,1
57,1.0,0,0,23,0,10,3.0,0,0,3,55,212.0,27.0,0.9482758620689655,7.571428571428571,0.05357142857142857,0,3
39,1.0,1,0,24,0,6,15.0,0,0,4,43,577.0,2.0,1.075,192.33333333333334,0.09090909090909091,2,3
27,1.0,0,0,25,1,30,18.0,0,1,8,44,436.0,28.0,1.5714285714285714,15.03448275862069,0.17777777777777778,1,3
