Age,Churn,Contract Length_Monthly,Contract Length_Quarterly,CustomerID,Gender_Male,Last Interaction,Payment Delay,Subscription Type_Premium,Subscription Type_Standard,Support Calls,Tenure,Total Spend,Usage Frequency,Tenure_Age_Ratio,Spend_per_Usage,Support_Calls_per_Tenure,Spending_Group,Tenure_Group
62,1.0,0,1,181146,1,6,30.0,1,0,7,31,243.0,25.0,0.49206349206349204,9.346153846153847,0.21875,0,2
51,1.0,1,0,181147,0,7,8.0,0,1,2,18,356.0,3.0,0.34615384615384615,89.0,0.10526315789473684,1,1
45,1.0,0,1,181148,0,20,3.0,0,1,4,20,661.0,11.0,0.43478260869565216,55.083333333333336,0.19047619047619047,2,1
42,1.0,1,0,181149,1,30,16.0,1,0,9,10,841.0,3.0,0.23255813953488372,210.25,0.8181818181818182,3,0
36,1.0,0,1,181150,0,30,4.0,1,0,7,44,330.0,4.0,1.1891891891891893,66.0,0.15555555555555556,1,3
64,1.0,1,0,181151,1,16,2.0,0,1,2,38,286.0,22.0,0.5846153846153846,12.434782608695652,0.05128205128205128,0,3
50,1.0,1,0,181152,0,30,5.0,0,1,9,46,866.0,20.0,0.9019607843137255,41.23809523809524,0.19148936170212766,3,3
18,1.0,0,0,181153,0,24,27.0,1,0,9,25,951.0,8.0,1.3157894736842106,105.66666666666667,0.34615384615384615,3,2
65,1.0,0,0,181154,1,30,26.0,0,1,3,50,420.0,23.0,0.7575757575757576,17.5,0.058823529411764705,1,3
52,1.0,1,0,181155,0,3,1.0,1,0,1,18,855.0,4.0,0.33962264150943394,171.0,0.05263157894736842,3,1
42,1.0,1,0,181156,1,27,3.0,0,0,5,2,760.0,18.0,0.046511627906976744,40.0,1.6666666666666667,2,0
26,1.0,0,0,181157,1,27,29.0,0,0,10,53,714.0,15.0,1.962962962962963,44.625,0.18518518518518517,2,3
60,1.0,1,0,181158,0,11,12.0,0,1,4,24,448.0,27.0,0.39344262295081966,16.0,0.16,1,1
44,1.0,0,1,181159,0,28,6.0,0,0,9,13,325.0,14.0,0.28888888888888886,21.666666666666668,0.6428571428571429,1,1
34,1.0,1,0,181160,1,9,18.0,0,0,1,1,519.0,8.0,0.02857142857142857,57.666666666666664,0.5,1,0
49,0.0,0,1,181161,1,24,15.0,0,1,4,33,661.0,16.0,0.66,38.88235294117647,0.11764705882352941,2,2
63,1.0,1,0,181162,0,26,25.0,0,1,8,46,368.0,25.0,0.71875,14.153846153846153,0.1702127659574468,1,3
21,1.0,1,0,181163,1,28,12.0,0,1,6,7,774.0,3.0,0.3181818181818182,193.5,0.75,3,0
65,1.0,0,0,181164,0,25,14.0,0,0,8,18,827.0,19.0,0.2727272727272727,41.35,0.42105263157894735,3,1
30,1.0,1,0,181165,0,12,4.0,0,0,2,25,748.0,28.0,0.8064516129032258,25.79310344827586,0.07692307692307693,2,2
63,1.0,0,0,181166,1,28,23.0,0,0,4,15,116.0,13.0,0.234375,8.285714285714286,0.25,0,1
33,1.0,0,0,181167,1,22,1.0,0,0,10,36,200.0,14.0,1.0588235294117647,13.333333333333334,0.2702702702702703,0,2
37,1.0,0,1,181168,1,17,2.0,1,0,8,8,693.0,27.0,0.21052631578947367,24.75,0.8888888888888888,2,0
53,1.0,0,0,181169,1,4,20.0,0,1,3,34,466.0,10.0,0.6296296296296297,42.36363636363637,0.08571428571428572,1,2
33,1.0,0,0,181170,1,16,10.0,0,0,10,54,892.0,5.0,1.588235294117647,148.66666666666666,0.18181818181818182,3,3
57,1.0,0,1,181171,0,2,8.0,0,1,0,5,931.0,10.0,0.08620689655172414,84.63636363636364,0.0,3,0
57,1.0,1,0,181172,1,24,14.0,0,0,10,38,414.0,10.0,0.6551724137931034,37.63636363636363,0.2564102564102564,1,3
46,0.0,0,1,181173,1,4,1.0,0,0,2,27,802.0,5.0,0.574468085106383,133.66666666666666,0.07142857142857142,3,2
54,1.0,0,0,181174,1,26,7.0,0,0,6,29,720.0,10.0,0.5272727272727272,65.45454545454545,0.2,2,2
50,1.0,0,0,181175,0,11,9.0,1,0,5,52,120.0,13.0,1.0196078431372548,8.571428571428571,0.09433962264150944,0,3
59,1.0,0,0,181176,1,4,3.0,1,0,6,42,440.0,5.0,0.7,73.33333333333333,0.13953488372093023,1,3
46,1.0,1,0,181177,1,7,20.0,1,0,4,22,946.0,25.0,0.46808510638297873,36.38461538461539,0.17391304347826086,3,1
56,1.0,0,1,181178,0,6,17.0,0,1,3,37,501.0,8.0,0.6491228070175439,55.666666666666664,0.07894736842105263,1,3
40,1.0,1,0,181179,0,3,28.0,0,1,2,11,766.0,13.0,0.2682926829268293,54.714285714285715,0.16666666666666666,2,0
29,1.0,1,0,181180,1,3,7.0,0,1,10,52,619.0,12.0,1.7333333333333334,47.61538461538461,0.18867924528301888,2,3
25,1.0,0,1,181181,1,23,12.0,0,1,9,46,795.0,5.0,1.7692307692307692,132.5,0.19148936170212766,3,3
58,1.0,0,0,181182,0,28,2.0,0,1,1,44,801.0,25.0,0.7457627118644068,30.807692307692307,0.022222222222222223,3,3
60,1.0,1,0,181183,0,7,28.0,0,1,1,43,777.0,26.0,0.7049180327868853,28.77777777777778,0.022727272727272728,3,3
60,1.0,1,0,181184,1,19,4.0,0,0,9,27,323.0,8.0,0.4426229508196721,35.888888888888886,0.32142857142857145,1,2
35,1.0,1,0,181185,1,8,7.0,0,0,3,60,660.0,13.0,1.6666666666666667,47.142857142857146,0.04918032786885246,2,3
36,0.0,0,0,181186,1,26,12.0,1,0,2,59,655.0,14.0,1.5945945945945945,43.666666666666664,0.03333333333333333,2,3
24,1.0,1,0,181187,0,8,29.0,0,0,8,30,945.0,5.0,1.2,157.5,0.25806451612903225,3,2
36,1.0,0,0,181188,0,1,11.0,0,1,9,19,730.0,5.0,0.5135135135135135,121.66666666666667,0.45,2,1
25,1.0,1,0,181189,1,27,30.0,1,0,0,38,405.0,6.0,1.4615384615384615,57.857142857142854,0.0,1,3
50,1.0,1,0,181190,1,21,18.0,1,0,8,34,458.0,24.0,0.6666666666666666,18.32,0.22857142857142856,1,2
21,1.0,0,0,181191,1,7,0.0,1,0,6,27,556.0,5.0,1.2272727272727273,92.66666666666667,0.21428571428571427,2,2
34,1.0,0,1,181192,0,25,6.0,0,0,3,31,688.0,7.0,0.8857142857142857,86.0,0.09375,2,2
28,1.0,0,0,181193,0,18,10.0,0,0,9,53,792.0,11.0,1.8275862068965518,66.0,0.16666666666666666,3,3
62,1.0,0,0,181194,0,21,6.0,0,1,5,54,688.0,28.0,0.8571428571428571,23.724137931034484,0.09090909090909091,2,3
48,1.0,1,0,181195,0,24,20.0,1,0,10,36,946.0,11.0,0.7346938775510204,78.83333333333333,0.2702702702702703,3,2
63,1.0,0,1,181196,0,11,12.0,1,0,0,22,877.0,10.0,0.34375,79.72727272727273,0.0,3,1
20,1.0,0,1,181197,0,5,9.0,1,0,2,31,134.0,10.0,1.4761904761904763,12.181818181818182,0.0625,0,2
37,1.0,0,0,181198,0,6,29.0,1,0,10,1,723.0,23.0,0.02631578947368421,30.125,5.0,2,0
58,1.0,1,0,181199,1,6,4.0,0,1,4,16,631.0,24.0,0.2711864406779661,25.24,0.23529411764705882,2,1
57,1.0,1,0,181200,0,26,6.0,1,0,8,46,671.0,19.0,0.7931034482758621,33.55,0.1702127659574468,2,3
62,1.0,0,1,181201,0,20,1.0,0,1,0,3,291.0,21.0,0.047619047619047616,13.227272727272727,0.0,0,0
50,1.0,0,1,181202,0,9,21.0,1,0,6,26,491.0,15.0,0.5098039215686274,30.6875,0.2222222222222222,1,2
65,1.0,0,0,181203,0,12,24.0,0,0,7,7,819.0,22.0,0.10606060606060606,35.608695652173914,0.875,3,0
34,1.0,0,0,181204,1,21,21.0,0,1,2,25,897.0,28.0,0.7142857142857143,30.93103448275862,0.07692307692307693,3,2
62,1.0,0,0,181205,0,14,8.0,0,1,4,4,853.0,13.0,0.06349206349206349,60.92857142857143,0.8,3,0
64,1.0,0,1,181206,0,20,11.0,1,0,2,14,462.0,12.0,0.2153846153846154,35.53846153846154,0.13333333333333333,1,1
42,1.0,0,0,181207,0,6,8.0,0,1,5,10,918.0,18.0,0.23255813953488372,48.31578947368421,0.45454545454545453,3,0
31,0.0,0,1,181208,1,10,7.0,1,0,2,37,847.0,9.0,1.15625,84.7,0.05263157894736842,3,3
37,1.0,1,0,181209,0,4,29.0,0,1,4,37,777.0,9.0,0.9736842105263158,77.7,0.10526315789473684,3,3
58,1.0,0,1,181210,1,27,16.0,0,1,3,37,957.0,13.0,0.6271186440677966,68.35714285714286,0.07894736842105263,3,3
63,1.0,0,1,181211,0,15,0.0,0,1,2,34,540.0,30.0,0.53125,17.419354838709676,0.05714285714285714,2,2
40,1.0,0,1,181212,1,28,14.0,1,0,1,54,438.0,26.0,1.3170731707317074,16.22222222222222,0.01818181818181818,1,3
57,1.0,0,1,181213,0,11,14.0,1,0,4,44,762.0,22.0,0.7586206896551724,33.130434782608695,0.08888888888888889,2,3
65,1.0,0,0,181214,1,19,2.0,1,0,4,21,377.0,4.0,0.3181818181818182,75.4,0.18181818181818182,1,1
29,1.0,0,1,181215,0,5,20.0,0,1,9,31,256.0,2.0,1.0333333333333334,85.33333333333333,0.28125,0,2
30,1.0,1,0,181216,0,19,20.0,1,0,4,40,547.0,23.0,1.2903225806451613,22.791666666666668,0.0975609756097561,2,3
35,1.0,0,0,181217,1,15,13.0,0,0,7,30,819.0,2.0,0.8333333333333334,273.0,0.22580645161290322,3,2
26,1.0,0,0,181218,1,4,27.0,1,0,4,41,959.0,20.0,1.5185185185185186,45.666666666666664,0.09523809523809523,3,3
37,1.0,0,0,181219,1,13,26.0,0,0,10,60,330.0,14.0,1.5789473684210527,22.0,0.16393442622950818,1,3
54,1.0,0,0,181220,1,23,1.0,0,1,6,34,751.0,8.0,0.6181818181818182,83.44444444444444,0.17142857142857143,2,2
38,0.0,0,1,181221,1,14,12.0,1,0,3,19,923.0,24.0,0.48717948717948717,36.92,0.15,3,1
53,1.0,0,0,181222,0,9,29.0,1,0,0,21,433.0,16.0,0.3888888888888889,25.470588235294116,0.0,1,1
42,1.0,0,0,181223,1,19,28.0,1,0,8,27,722.0,19.0,0.627906976744186,36.1,0.2857142857142857,2,2
48,1.0,0,0,181224,0,29,11.0,0,1,3,2,806.0,23.0,0.04081632653061224,33.583333333333336,1.0,3,0
29,1.0,1,0,181225,0,15,0.0,0,1,7,49,740.0,17.0,1.6333333333333333,41.111111111111114,0.14,2,3
62,1.0,1,0,181226,1,19,14.0,0,1,1,31,931.0,17.0,0.49206349206349204,51.72222222222222,0.03125,3,2
47,1.0,1,0,181227,0,1,24.0,1,0,7,23,317.0,22.0,0.4791666666666667,13.782608695652174,0.2916666666666667,0,1
62,1.0,1,0,181228,1,28,2.0,0,1,1,57,511.0,18.0,0.9047619047619048,26.894736842105264,0.017241379310344827,1,3
64,1.0,0,1,181229,1,28,23.0,1,0,6,58,814.0,18.0,0.8923076923076924,42.8421052631579,0.1016949152542373,3,3
39,1.0,0,1,181230,0,5,10.0,1,0,2,58,463.0,22.0,1.45,20.130434782608695,0.03389830508474576,1,3
65,1.0,0,0,181231,0,26,20.0,0,1,9,9,188.0,28.0,0.13636363636363635,6.482758620689655,0.9,0,0
35,1.0,1,0,181232,0,26,29.0,1,0,0,44,224.0,19.0,1.2222222222222223,11.2,0.0,0,3
33,1.0,1,0,181233,0,29,16.0,0,0,2,34,594.0,6.0,1.0,84.85714285714286,0.05714285714285714,2,2
25,1.0,0,0,181234,0,5,12.0,0,1,7,7,759.0,8.0,0.2692307692307692,84.33333333333333,0.875,2,0
52,1.0,0,0,181235,0,16,18.0,0,1,2,59,205.0,11.0,1.1132075471698113,17.083333333333332,0.03333333333333333,0,3
43,1.0,0,0,181236,0,14,17.0,0,0,5,10,934.0,29.0,0.22727272727272727,31.133333333333333,0.45454545454545453,3,0
32,1.0,1,0,181237,0,11,11.0,0,1,0,15,519.0,9.0,0.45454545454545453,51.9,0.0,1,1
53,1.0,1,0,181238,1,22,18.0,0,1,0,33,621.0,22.0,0.6111111111111112,27.0,0.0,2,2
57,1.0,0,1,181239,1,23,6.0,0,0,10,55,113.0,19.0,0.9482758620689655,5.65,0.17857142857142858,0,3
25,1.0,0,0,181240,0,19,28.0,0,1,1,48,632.0,16.0,1.8461538461538463,37.1764705882353,0.02040816326530612,2,3
41,1.0,0,0,181241,0,20,14.0,0,1,2,56,215.0,7.0,1.3333333333333333,26.875,0.03508771929824561,0,3
27,1.0,1,0,181242,1,22,20.0,1,0,8,37,183.0,26.0,1.3214285714285714,6.777777777777778,0.21052631578947367,0,3
59,1.0,0,0,181243,0,25,27.0,0,1,2,37,840.0,24.0,0.6166666666666667,33.6,0.05263157894736842,3,3
43,1.0,0,1,181244,0,22,4.0,1,0,3,31,181.0,4.0,0.7045454545454546,36.2,0.09375,0,2
50,1.0,0,0,181245,0,16,16.0,0,1,10,18,622.0,24.0,0.35294117647058826,24.88,0.5263157894736842,2,1
