CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
315699.0,31.0,Male,27.0,4.0,2.0,4.0,Premium,Annual,569.01,27.0,0.0
315700.0,31.0,Female,45.0,16.0,3.0,20.0,Basic,Annual,671.38,9.0,0.0
315701.0,40.0,Male,25.0,19.0,1.0,10.0,Standard,Quarterly,682.99,24.0,0.0
315702.0,47.0,Male,36.0,27.0,2.0,4.0,Standard,Quarterly,946.37,6.0,0.0
315703.0,40.0,Female,26.0,30.0,1.0,4.0,Premium,Quarterly,583.34,6.0,0.0
315704.0,18.0,Male,53.0,9.0,0.0,15.0,Standard,Annual,615.71,26.0,0.0
315705.0,31.0,Male,5.0,2.0,1.0,19.0,Standard,Quarterly,924.32,11.0,0.0
315706.0,36.0,Female,42.0,21.0,3.0,12.0,Basic,Quarterly,912.93,3.0,0.0
315707.0,34.0,Male,29.0,15.0,2.0,5.0,Premium,Quarterly,926.99,7.0,0.0
315708.0,21.0,Female,28.0,19.0,1.0,6.0,Basic,Annual,572.06,11.0,0.0
315709.0,42.0,Male,1.0,19.0,0.0,3.0,Standard,Quarterly,724.58,8.0,0.0
315710.0,29.0,Male,28.0,24.0,2.0,18.0,Basic,Annual,900.38,6.0,0.0
315711.0,49.0,Male,60.0,1.0,3.0,7.0,Premium,Quarterly,531.2,3.0,0.0
315712.0,30.0,Female,33.0,26.0,2.0,13.0,Premium,Annual,594.37,14.0,0.0
315713.0,38.0,Male,10.0,6.0,2.0,5.0,Basic,Annual,591.92,24.0,0.0
315714.0,43.0,Female,47.0,24.0,0.0,6.0,Basic,Annual,727.1,11.0,0.0
315715.0,20.0,Male,54.0,27.0,0.0,17.0,Premium,Annual,924.26,12.0,0.0
315716.0,42.0,Female,26.0,9.0,1.0,2.0,Standard,Quarterly,681.51,14.0,0.0
315717.0,20.0,Female,17.0,20.0,1.0,1.0,Premium,Annual,833.74,7.0,0.0
315718.0,31.0,Female,38.0,25.0,1.0,15.0,Premium,Quarterly,930.39,9.0,0.0
315719.0,47.0,Male,28.0,6.0,4.0,15.0,Basic,Quarterly,682.8,10.0,0.0
315720.0,24.0,Male,47.0,28.0,0.0,1.0,Basic,Quarterly,524.22,18.0,0.0
315721.0,41.0,Female,52.0,13.0,0.0,12.0,Standard,Quarterly,997.49,15.0,0.0
315722.0,41.0,Male,43.0,13.0,4.0,16.0,Standard,Annual,652.41,27.0,0.0
315723.0,40.0,Female,9.0,24.0,3.0,7.0,Standard,Quarterly,771.97,2.0,0.0
315724.0,38.0,Male,43.0,26.0,0.0,13.0,Standard,Annual,610.15,17.0,0.0
315725.0,33.0,Female,29.0,19.0,1.0,4.0,Basic,Annual,809.33,12.0,0.0
315726.0,40.0,Female,34.0,14.0,2.0,11.0,Basic,Quarterly,996.79,5.0,0.0
315727.0,25.0,Male,22.0,19.0,2.0,11.0,Premium,Annual,835.73,28.0,0.0
315728.0,47.0,Male,58.0,7.0,1.0,9.0,Basic,Annual,834.15,24.0,0.0
315729.0,24.0,Male,49.0,26.0,1.0,1.0,Standard,Quarterly,828.47,12.0,0.0
315730.0,39.0,Male,58.0,10.0,1.0,3.0,Premium,Annual,681.5,11.0,0.0
315731.0,20.0,Male,18.0,11.0,1.0,17.0,Basic,Annual,977.8,26.0,0.0
315732.0,18.0,Male,48.0,19.0,0.0,4.0,Standard,Annual,982.77,7.0,0.0
315733.0,48.0,Male,19.0,29.0,3.0,9.0,Standard,Quarterly,579.08,25.0,0.0
315734.0,41.0,Male,49.0,28.0,1.0,20.0,Standard,Annual,855.0,7.0,0.0
315735.0,41.0,Female,25.0,2.0,0.0,18.0,Basic,Annual,630.1,13.0,0.0
315736.0,41.0,Female,7.0,6.0,4.0,4.0,Standard,Annual,837.12,10.0,0.0
315737.0,36.0,Female,8.0,13.0,1.0,8.0,Premium,Quarterly,822.27,12.0,0.0
315738.0,30.0,Male,21.0,21.0,3.0,3.0,Basic,Annual,570.25,28.0,0.0
315739.0,29.0,Male,13.0,13.0,2.0,18.0,Basic,Quarterly,881.59,17.0,0.0
315740.0,28.0,Male,10.0,9.0,0.0,17.0,Premium,Quarterly,974.62,10.0,0.0
315741.0,21.0,Female,50.0,14.0,2.0,6.0,Basic,Annual,692.99,13.0,0.0
315742.0,31.0,Male,26.0,7.0,0.0,19.0,Basic,Annual,811.7,17.0,0.0
315743.0,35.0,Male,12.0,19.0,1.0,4.0,Premium,Annual,938.84,29.0,0.0
315744.0,45.0,Male,16.0,21.0,0.0,17.0,Basic,Annual,551.95,16.0,0.0
315745.0,31.0,Male,48.0,29.0,2.0,13.0,Basic,Annual,762.7,16.0,0.0
315746.0,41.0,Male,27.0,5.0,2.0,8.0,Premium,Quarterly,522.93,10.0,0.0
315747.0,31.0,Female,46.0,14.0,0.0,14.0,Standard,Quarterly,566.61,15.0,0.0
315748.0,26.0,Male,57.0,16.0,0.0,19.0,Basic,Annual,847.16,22.0,0.0
315749.0,40.0,Female,16.0,10.0,1.0,1.0,Premium,Quarterly,645.94,1.0,0.0
315750.0,42.0,Female,28.0,22.0,1.0,15.0,Basic,Quarterly,613.68,9.0,0.0
315751.0,49.0,Female,25.0,13.0,1.0,15.0,Basic,Annual,881.18,3.0,0.0
315752.0,44.0,Male,53.0,10.0,3.0,9.0,Premium,Quarterly,650.79,27.0,0.0
315753.0,29.0,Female,6.0,8.0,0.0,13.0,Standard,Annual,832.36,10.0,0.0
315754.0,21.0,Male,34.0,23.0,2.0,17.0,Premium,Annual,964.33,13.0,0.0
315755.0,48.0,Male,34.0,19.0,2.0,10.0,Premium,Quarterly,765.62,26.0,0.0
315756.0,27.0,Male,52.0,26.0,1.0,1.0,Standard,Annual,929.06,28.0,0.0
315757.0,43.0,Female,14.0,10.0,3.0,14.0,Standard,Annual,697.14,3.0,0.0
315758.0,44.0,Male,37.0,12.0,4.0,18.0,Basic,Annual,984.64,26.0,0.0
315759.0,29.0,Male,2.0,27.0,1.0,13.0,Premium,Quarterly,647.15,7.0,0.0
315760.0,47.0,Male,60.0,26.0,2.0,9.0,Standard,Quarterly,571.79,14.0,0.0
315761.0,32.0,Male,41.0,8.0,1.0,5.0,Premium,Quarterly,934.76,20.0,0.0
315762.0,35.0,Male,47.0,20.0,0.0,4.0,Basic,Quarterly,746.02,5.0,0.0
315763.0,35.0,Male,11.0,29.0,2.0,16.0,Premium,Annual,677.81,13.0,0.0
315764.0,48.0,Male,20.0,13.0,0.0,4.0,Premium,Annual,922.81,30.0,0.0
315765.0,48.0,Male,38.0,21.0,1.0,0.0,Premium,Annual,795.39,17.0,0.0
315766.0,28.0,Male,2.0,13.0,0.0,10.0,Premium,Quarterly,789.03,29.0,0.0
315767.0,18.0,Female,52.0,2.0,1.0,18.0,Standard,Quarterly,519.12,15.0,0.0
315768.0,25.0,Male,60.0,3.0,1.0,14.0,Premium,Annual,643.55,24.0,0.0
315769.0,47.0,Male,19.0,26.0,0.0,3.0,Premium,Quarterly,658.24,28.0,0.0
315770.0,38.0,Female,43.0,10.0,0.0,7.0,Standard,Annual,671.78,5.0,0.0
315771.0,46.0,Male,50.0,25.0,2.0,9.0,Basic,Annual,914.21,10.0,0.0
315772.0,42.0,Male,11.0,3.0,2.0,10.0,Basic,Quarterly,916.7,12.0,0.0
315773.0,29.0,Female,29.0,11.0,1.0,15.0,Standard,Quarterly,981.66,5.0,0.0
315774.0,38.0,Male,25.0,3.0,2.0,9.0,Basic,Annual,969.47,6.0,0.0
315775.0,30.0,Male,48.0,28.0,3.0,17.0,Standard,Quarterly,618.96,22.0,0.0
315776.0,33.0,Male,28.0,14.0,0.0,5.0,Standard,Quarterly,785.31,25.0,0.0
315777.0,26.0,Male,46.0,14.0,0.0,20.0,Premium,Quarterly,812.04,19.0,0.0
315778.0,27.0,Male,25.0,23.0,1.0,1.0,Premium,Annual,759.03,30.0,0.0
315779.0,40.0,Male,57.0,18.0,3.0,9.0,Premium,Annual,685.47,22.0,0.0
315780.0,42.0,Female,11.0,6.0,1.0,3.0,Basic,Annual,528.01,12.0,0.0
315781.0,27.0,Female,29.0,9.0,1.0,9.0,Standard,Quarterly,736.19,4.0,0.0
315782.0,41.0,Male,13.0,17.0,1.0,12.0,Standard,Annual,530.2,18.0,0.0
