CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
403865.0,45.0,Male,3.0,16.0,3.0,17.0,Premium,Quarterly,613.3,9.0,0.0
403866.0,49.0,Male,15.0,12.0,4.0,4.0,Basic,Annual,576.97,20.0,0.0
403867.0,35.0,Male,26.0,17.0,2.0,9.0,Premium,Quarterly,763.6,25.0,0.0
403868.0,41.0,Female,51.0,6.0,3.0,11.0,Standard,Annual,696.06,11.0,0.0
403869.0,44.0,Female,3.0,15.0,1.0,6.0,Premium,Annual,565.33,9.0,0.0
403870.0,26.0,Female,2.0,16.0,2.0,2.0,Premium,Annual,790.96,1.0,0.0
403871.0,48.0,Female,9.0,3.0,1.0,12.0,Basic,Quarterly,745.44,8.0,0.0
403872.0,50.0,Male,17.0,10.0,0.0,5.0,Basic,Quarterly,661.14,28.0,0.0
403873.0,47.0,Female,58.0,3.0,3.0,12.0,Premium,Annual,742.18,6.0,0.0
403874.0,49.0,Female,41.0,12.0,4.0,20.0,Basic,Quarterly,626.73,4.0,0.0
403875.0,50.0,Female,56.0,20.0,3.0,8.0,Premium,Quarterly,655.83,10.0,0.0
403876.0,28.0,Male,25.0,20.0,1.0,3.0,Premium,Annual,827.43,6.0,0.0
403877.0,44.0,Male,47.0,21.0,3.0,15.0,Premium,Quarterly,538.91,23.0,0.0
403878.0,34.0,Female,49.0,1.0,0.0,2.0,Standard,Quarterly,687.86,15.0,0.0
403879.0,49.0,Female,51.0,20.0,4.0,15.0,Standard,Quarterly,984.15,7.0,0.0
403880.0,45.0,Male,20.0,19.0,1.0,13.0,Basic,Annual,884.81,29.0,0.0
403881.0,26.0,Male,48.0,10.0,2.0,4.0,Standard,Annual,698.14,26.0,0.0
403882.0,37.0,Female,46.0,26.0,0.0,6.0,Premium,Annual,849.22,3.0,0.0
403883.0,42.0,Female,41.0,1.0,3.0,16.0,Basic,Annual,607.94,12.0,0.0
403884.0,47.0,Male,57.0,12.0,3.0,4.0,Premium,Quarterly,985.34,29.0,0.0
403885.0,19.0,Male,48.0,16.0,1.0,18.0,Basic,Annual,550.82,2.0,0.0
403886.0,30.0,Male,39.0,23.0,3.0,8.0,Standard,Quarterly,789.7,14.0,0.0
403887.0,43.0,Female,10.0,26.0,2.0,5.0,Premium,Annual,909.65,4.0,0.0
403888.0,34.0,Male,59.0,12.0,3.0,11.0,Standard,Annual,777.22,6.0,0.0
403889.0,31.0,Male,5.0,28.0,3.0,5.0,Standard,Annual,710.04,10.0,0.0
403890.0,38.0,Male,4.0,29.0,3.0,8.0,Standard,Quarterly,744.37,16.0,0.0
403891.0,41.0,Female,48.0,26.0,3.0,1.0,Premium,Annual,647.13,10.0,0.0
403892.0,37.0,Male,17.0,28.0,3.0,3.0,Basic,Annual,791.7,17.0,0.0
403893.0,34.0,Male,31.0,30.0,2.0,9.0,Basic,Quarterly,988.55,24.0,0.0
403894.0,48.0,Male,20.0,17.0,3.0,1.0,Basic,Annual,878.72,11.0,0.0
403895.0,42.0,Male,27.0,8.0,1.0,4.0,Premium,Quarterly,554.62,10.0,0.0
403896.0,38.0,Female,30.0,17.0,2.0,9.0,Standard,Annual,846.86,7.0,0.0
403897.0,34.0,Male,48.0,19.0,0.0,6.0,Standard,Annual,979.78,27.0,0.0
403898.0,34.0,Male,47.0,25.0,2.0,10.0,Standard,Annual,538.47,27.0,0.0
