CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
181146.0,62.0,Male,31.0,25.0,7.0,30.0,Premium,Quarterly,243.0,6.0,1.0
181147.0,51.0,Female,18.0,3.0,2.0,8.0,Standard,Monthly,356.0,7.0,1.0
181148.0,45.0,Female,20.0,11.0,4.0,3.0,Standard,Quarterly,661.0,20.0,1.0
181149.0,42.0,Male,10.0,3.0,9.0,16.0,Premium,Monthly,841.0,30.0,1.0
181150.0,36.0,Female,44.0,4.0,7.0,4.0,Premium,Quarterly,330.0,30.0,1.0
181151.0,64.0,Male,38.0,22.0,2.0,2.0,Standard,Monthly,286.0,16.0,1.0
181152.0,50.0,Female,46.0,20.0,9.0,5.0,Standard,Monthly,866.0,30.0,1.0
181153.0,18.0,Female,25.0,8.0,9.0,27.0,Premium,Annual,951.0,24.0,1.0
181154.0,65.0,Male,50.0,23.0,3.0,26.0,Standard,Annual,420.0,30.0,1.0
181155.0,52.0,Female,18.0,4.0,1.0,1.0,Premium,Monthly,855.0,3.0,1.0
181156.0,42.0,Male,2.0,18.0,5.0,3.0,Basic,Monthly,760.0,27.0,1.0
181157.0,26.0,Male,53.0,15.0,10.0,29.0,Basic,Annual,714.0,27.0,1.0
181158.0,60.0,Female,24.0,27.0,4.0,12.0,Standard,Monthly,448.0,11.0,1.0
181159.0,44.0,Female,13.0,14.0,9.0,6.0,Basic,Quarterly,325.0,28.0,1.0
181160.0,34.0,Male,1.0,8.0,1.0,18.0,Basic,Monthly,519.0,9.0,1.0
181161.0,49.0,Male,33.0,16.0,4.0,15.0,Standard,Quarterly,661.0,24.0,0.0
181162.0,63.0,Female,46.0,25.0,8.0,25.0,Standard,Monthly,368.0,26.0,1.0
181163.0,21.0,Male,7.0,3.0,6.0,12.0,Standard,Monthly,774.0,28.0,1.0
181164.0,65.0,Female,18.0,19.0,8.0,14.0,Basic,Annual,827.0,25.0,1.0
181165.0,30.0,Female,25.0,28.0,2.0,4.0,Basic,Monthly,748.0,12.0,1.0
181166.0,63.0,Male,15.0,13.0,4.0,23.0,Basic,Annual,116.0,28.0,1.0
181167.0,33.0,Male,36.0,14.0,10.0,1.0,Basic,Annual,200.0,22.0,1.0
181168.0,37.0,Male,8.0,27.0,8.0,2.0,Premium,Quarterly,693.0,17.0,1.0
181169.0,53.0,Male,34.0,10.0,3.0,20.0,Standard,Annual,466.0,4.0,1.0
181170.0,33.0,Male,54.0,5.0,10.0,10.0,Basic,Annual,892.0,16.0,1.0
181171.0,57.0,Female,5.0,10.0,0.0,8.0,Standard,Quarterly,931.0,2.0,1.0
181172.0,57.0,Male,38.0,10.0,10.0,14.0,Basic,Monthly,414.0,24.0,1.0
181173.0,46.0,Male,27.0,5.0,2.0,1.0,Basic,Quarterly,802.0,4.0,0.0
181174.0,54.0,Male,29.0,10.0,6.0,7.0,Basic,Annual,720.0,26.0,1.0
181175.0,50.0,Female,52.0,13.0,5.0,9.0,Premium,Annual,120.0,11.0,1.0
181176.0,59.0,Male,42.0,5.0,6.0,3.0,Premium,Annual,440.0,4.0,1.0
181177.0,46.0,Male,22.0,25.0,4.0,20.0,Premium,Monthly,946.0,7.0,1.0
181178.0,56.0,Female,37.0,8.0,3.0,17.0,Standard,Quarterly,501.0,6.0,1.0
181179.0,40.0,Female,11.0,13.0,2.0,28.0,Standard,Monthly,766.0,3.0,1.0
181180.0,29.0,Male,52.0,12.0,10.0,7.0,Standard,Monthly,619.0,3.0,1.0
