CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
136602.0,51.0,Female,23.0,22.0,9.0,8.0,Premium,Monthly,346.0,9.0,1.0
136603.0,59.0,Female,39.0,17.0,7.0,5.0,Basic,Monthly,480.0,23.0,1.0
136604.0,39.0,Male,4.0,1.0,4.0,12.0,Standard,Quarterly,777.0,29.0,1.0
136605.0,54.0,Male,20.0,24.0,2.0,2.0,Basic,Annual,673.0,8.0,1.0
136606.0,65.0,Female,13.0,24.0,8.0,6.0,Standard,Monthly,946.0,26.0,1.0
136607.0,45.0,Female,46.0,29.0,7.0,18.0,Basic,Monthly,788.0,8.0,1.0
136608.0,43.0,Female,34.0,5.0,5.0,28.0,Standard,Quarterly,617.0,19.0,1.0
136609.0,41.0,Female,50.0,14.0,0.0,18.0,Premium,Annual,373.0,26.0,1.0
136610.0,25.0,Female,10.0,10.0,1.0,18.0,Premium,Quarterly,117.0,26.0,1.0
136611.0,50.0,Male,23.0,3.0,8.0,26.0,Basic,Monthly,968.0,2.0,1.0
136612.0,35.0,Male,55.0,2.0,7.0,8.0,Standard,Annual,589.0,16.0,1.0
136613.0,38.0,Male,8.0,26.0,2.0,21.0,Standard,Monthly,812.0,23.0,1.0
136615.0,49.0,Male,14.0,15.0,5.0,29.0,Standard,Annual,527.0,5.0,1.0
136616.0,21.0,Male,55.0,17.0,5.0,22.0,Basic,Annual,740.0,4.0,1.0
136617.0,40.0,Female,45.0,6.0,3.0,19.0,Premium,Monthly,203.0,11.0,1.0
136618.0,25.0,Female,13.0,6.0,10.0,13.0,Premium,Annual,694.0,30.0,1.0
136619.0,29.0,Female,57.0,14.0,7.0,30.0,Basic,Quarterly,183.0,21.0,1.0
136620.0,51.0,Female,33.0,27.0,2.0,25.0,Basic,Monthly,192.0,26.0,1.0
136621.0,45.0,Male,46.0,30.0,4.0,5.0,Premium,Quarterly,464.0,29.0,1.0
136622.0,53.0,Male,40.0,1.0,3.0,7.0,Premium,Monthly,418.0,15.0,1.0
136623.0,24.0,Male,7.0,23.0,6.0,30.0,Standard,Annual,261.0,13.0,1.0
136624.0,50.0,Female,6.0,3.0,2.0,2.0,Standard,Monthly,894.0,17.0,1.0
136625.0,30.0,Female,7.0,24.0,8.0,9.0,Standard,Annual,559.0,8.0,1.0
136626.0,34.0,Male,47.0,18.0,10.0,30.0,Basic,Quarterly,652.0,2.0,1.0
136628.0,65.0,Male,55.0,18.0,9.0,12.0,Basic,Monthly,319.0,12.0,1.0
136629.0,37.0,Female,9.0,27.0,6.0,12.0,Standard,Monthly,586.0,5.0,1.0
136630.0,36.0,Male,11.0,9.0,6.0,6.0,Standard,Annual,934.0,23.0,1.0
136631.0,44.0,Male,35.0,9.0,2.0,13.0,Premium,Monthly,736.0,30.0,1.0
136632.0,40.0,Male,60.0,5.0,6.0,1.0,Standard,Annual,655.0,15.0,1.0
136633.0,19.0,Female,48.0,21.0,2.0,4.0,Premium,Quarterly,372.0,3.0,1.0
136634.0,31.0,Male,40.0,12.0,5.0,24.0,Basic,Quarterly,181.0,5.0,1.0
136635.0,34.0,Female,15.0,4.0,4.0,25.0,Basic,Annual,524.0,15.0,1.0
136636.0,48.0,Male,29.0,1.0,3.0,24.0,Premium,Quarterly,420.0,16.0,1.0
136637.0,55.0,Female,36.0,2.0,2.0,3.0,Basic,Annual,408.0,27.0,1.0
136638.0,30.0,Male,40.0,20.0,8.0,10.0,Premium,Annual,107.0,26.0,1.0
136639.0,51.0,Female,1.0,7.0,0.0,15.0,Premium,Annual,346.0,13.0,1.0
136640.0,41.0,Male,50.0,18.0,8.0,4.0,Standard,Monthly,483.0,9.0,1.0
136641.0,40.0,Female,4.0,15.0,8.0,21.0,Basic,Quarterly,159.0,18.0,1.0
136642.0,39.0,Male,48.0,23.0,10.0,20.0,Standard,Monthly,694.0,21.0,1.0
136643.0,42.0,Male,12.0,1.0,6.0,22.0,Standard,Quarterly,674.0,22.0,1.0
136644.0,35.0,Male,52.0,15.0,5.0,28.0,Standard,Annual,842.0,12.0,1.0
136645.0,59.0,Female,41.0,6.0,3.0,24.0,Basic,Monthly,546.0,13.0,1.0
136647.0,29.0,Male,48.0,15.0,9.0,21.0,Basic,Monthly,529.0,6.0,1.0
136648.0,50.0,Female,45.0,23.0,3.0,12.0,Basic,Quarterly,145.0,18.0,1.0
136649.0,35.0,Female,48.0,11.0,1.0,20.0,Basic,Monthly,534.0,18.0,1.0
136650.0,47.0,Female,53.0,15.0,4.0,10.0,Premium,Monthly,288.0,23.0,1.0
136651.0,29.0,Male,58.0,11.0,9.0,30.0,Premium,Monthly,619.0,12.0,1.0
136652.0,34.0,Female,53.0,12.0,3.0,5.0,Basic,Annual,658.0,19.0,1.0
136653.0,36.0,Male,9.0,12.0,10.0,22.0,Standard,Annual,693.0,12.0,1.0
136654.0,64.0,Female,4.0,2.0,0.0,11.0,Basic,Annual,491.0,5.0,1.0
136655.0,56.0,Female,52.0,20.0,2.0,19.0,Standard,Annual,845.0,6.0,1.0
136656.0,21.0,Male,36.0,6.0,7.0,28.0,Standard,Annual,436.0,30.0,1.0
136657.0,39.0,Female,23.0,14.0,2.0,14.0,Standard,Monthly,779.0,27.0,1.0
136658.0,61.0,Male,28.0,12.0,8.0,21.0,Standard,Annual,537.0,3.0,1.0
136659.0,56.0,Female,27.0,12.0,6.0,10.0,Standard,Quarterly,200.0,11.0,1.0
136661.0,42.0,Male,17.0,7.0,1.0,7.0,Premium,Annual,637.0,18.0,1.0
136662.0,62.0,Male,44.0,29.0,2.0,4.0,Premium,Monthly,449.0,8.0,1.0
136663.0,19.0,Female,49.0,29.0,5.0,19.0,Standard,Quarterly,643.0,26.0,1.0
136664.0,28.0,Male,32.0,22.0,7.0,9.0,Standard,Monthly,640.0,1.0,1.0
136665.0,37.0,Male,59.0,19.0,5.0,4.0,Basic,Monthly,687.0,28.0,1.0
136666.0,63.0,Female,35.0,9.0,1.0,10.0,Premium,Annual,312.0,29.0,1.0
136667.0,56.0,Male,44.0,2.0,8.0,3.0,Basic,Quarterly,308.0,28.0,1.0
136668.0,25.0,Male,28.0,30.0,8.0,3.0,Standard,Quarterly,620.0,20.0,1.0
136669.0,45.0,Female,28.0,13.0,1.0,20.0,Premium,Quarterly,899.0,19.0,1.0
136670.0,50.0,Male,38.0,16.0,7.0,8.0,Standard,Annual,716.0,21.0,1.0
136671.0,39.0,Male,10.0,3.0,10.0,30.0,Premium,Annual,578.0,15.0,1.0
136672.0,38.0,Male,18.0,1.0,10.0,26.0,Standard,Quarterly,796.0,23.0,1.0
136673.0,60.0,Male,29.0,8.0,2.0,18.0,Basic,Monthly,644.0,18.0,1.0
