Age,Churn,Contract Length_Monthly,Contract Length_Quarterly,CustomerID,Gender_Male,Last Interaction,Payment Delay,Subscription Type_Premium,Subscription Type_Standard,Support Calls,Tenure,Total Spend,Usage Frequency
51,1.0,1,0,136602,0,9,8.0,1,0,9,23,346.0,22.0
59,1.0,1,0,136603,0,23,5.0,0,0,7,39,480.0,17.0
39,1.0,0,1,136604,1,29,12.0,0,1,4,4,777.0,1.0
54,1.0,0,0,136605,1,8,2.0,0,0,2,20,673.0,24.0
65,1.0,1,0,136606,0,26,6.0,0,1,8,13,946.0,24.0
45,1.0,1,0,136607,0,8,18.0,0,0,7,46,788.0,29.0
43,1.0,0,1,136608,0,19,28.0,0,1,5,34,617.0,5.0
41,1.0,0,0,136609,0,26,18.0,1,0,0,50,373.0,14.0
25,1.0,0,1,136610,0,26,18.0,1,0,1,10,117.0,10.0
50,1.0,1,0,136611,1,2,26.0,0,0,8,23,968.0,3.0
35,1.0,0,0,136612,1,16,8.0,0,1,7,55,589.0,2.0
38,1.0,1,0,136613,1,23,21.0,0,1,2,8,812.0,26.0
49,1.0,0,0,136615,1,5,29.0,0,1,5,14,527.0,15.0
21,1.0,0,0,136616,1,4,22.0,0,0,5,55,740.0,17.0
40,1.0,1,0,136617,0,11,19.0,1,0,3,45,203.0,6.0
25,1.0,0,0,136618,0,30,13.0,1,0,10,13,694.0,6.0
29,1.0,0,1,136619,0,21,30.0,0,0,7,57,183.0,14.0
51,1.0,1,0,136620,0,26,25.0,0,0,2,33,192.0,27.0
45,1.0,0,1,136621,1,29,5.0,1,0,4,46,464.0,30.0
53,1.0,1,0,136622,1,15,7.0,1,0,3,40,418.0,1.0
24,1.0,0,0,136623,1,13,30.0,0,1,6,7,261.0,23.0
50,1.0,1,0,136624,0,17,2.0,0,1,2,6,894.0,3.0
30,1.0,0,0,136625,0,8,9.0,0,1,8,7,559.0,24.0
34,1.0,0,1,136626,1,2,30.0,0,0,10,47,652.0,18.0
65,1.0,1,0,136628,1,12,12.0,0,0,9,55,319.0,18.0
37,1.0,1,0,136629,0,5,12.0,0,1,6,9,586.0,27.0
36,1.0,0,0,136630,1,23,6.0,0,1,6,11,934.0,9.0
44,1.0,1,0,136631,1,30,13.0,1,0,2,35,736.0,9.0
40,1.0,0,0,136632,1,15,1.0,0,1,6,60,655.0,5.0
19,1.0,0,1,136633,0,3,4.0,1,0,2,48,372.0,21.0
31,1.0,0,1,136634,1,5,24.0,0,0,5,40,181.0,12.0
34,1.0,0,0,136635,0,15,25.0,0,0,4,15,524.0,4.0
48,1.0,0,1,136636,1,16,24.0,1,0,3,29,420.0,1.0
55,1.0,0,0,136637,0,27,3.0,0,0,2,36,408.0,2.0
30,1.0,0,0,136638,1,26,10.0,1,0,8,40,107.0,20.0
51,1.0,0,0,136639,0,13,15.0,1,0,0,1,346.0,7.0
41,1.0,1,0,136640,1,9,4.0,0,1,8,50,483.0,18.0
40,1.0,0,1,136641,0,18,21.0,0,0,8,4,159.0,15.0
39,1.0,1,0,136642,1,21,20.0,0,1,10,48,694.0,23.0
42,1.0,0,1,136643,1,22,22.0,0,1,6,12,674.0,1.0
