Age,Churn,Contract Length_Monthly,Contract Length_Quarterly,CustomerID,Gender_Male,Last Interaction,Payment Delay,Subscription Type_Premium,Subscription Type_Standard,Support Calls,Tenure,Total Spend,Usage Frequency
57,1.0,0,0,44610,1,4,9.0,1,0,7,60,469.0,11.0
55,1.0,0,0,44611,1,28,19.0,1,0,10,38,927.0,28.0
32,1.0,0,0,44612,1,17,27.0,0,1,4,56,194.0,17.0
55,1.0,1,0,44613,0,4,5.0,1,0,8,60,945.0,24.0
47,1.0,0,1,44614,1,1,23.0,0,1,2,18,612.0,25.0
29,1.0,0,1,44615,1,20,24.0,0,0,9,10,762.0,5.0
42,1.0,0,0,44617,0,15,22.0,0,1,10,58,401.0,1.0
38,1.0,1,0,44619,0,21,13.0,0,0,8,14,717.0,23.0
23,1.0,0,0,44620,0,4,21.0,0,1,0,54,605.0,23.0
27,1.0,0,0,44621,0,15,22.0,0,1,4,58,234.0,2.0
20,1.0,1,0,44622,1,18,6.0,0,1,5,36,481.0,7.0
30,1.0,1,0,44623,0,3,27.0,0,0,9,8,695.0,14.0
64,1.0,0,0,44624,0,13,2.0,0,1,9,14,124.0,21.0
51,1.0,0,1,44626,1,6,15.0,0,0,8,40,998.0,5.0
64,1.0,1,0,44627,1,30,17.0,1,0,1,36,140.0,19.0
62,1.0,0,0,44628,1,20,20.0,0,1,9,26,984.0,17.0
55,1.0,0,1,44629,1,23,29.0,1,0,8,19,197.0,8.0
50,1.0,1,0,44631,0,27,25.0,0,0,0,3,342.0,28.0
32,1.0,0,0,44632,0,28,16.0,1,0,9,13,213.0,23.0
30,1.0,0,0,44633,1,24,7.0,1,0,1,26,332.0,6.0
56,1.0,1,0,44634,0,20,3.0,0,0,4,10,253.0,8.0
57,1.0,1,0,44635,0,17,1.0,1,0,10,41,392.0,25.0
33,1.0,0,1,44636,0,28,16.0,0,1,8,7,944.0,25.0
22,1.0,0,0,44638,1,13,20.0,1,0,9,57,642.0,4.0
44,1.0,0,1,44639,0,19,14.0,1,0,7,21,575.0,15.0
56,1.0,1,0,44640,0,11,24.0,0,0,10,52,915.0,4.0
43,1.0,0,0,44641,1,14,15.0,0,0,5,25,735.0,3.0
53,1.0,0,0,44642,1,10,14.0,0,1,7,42,847.0,23.0
40,1.0,1,0,44643,0,13,5.0,0,1,3,38,922.0,11.0
20,1.0,0,0,44644,1,8,18.0,0,1,4,25,742.0,18.0
65,1.0,0,0,44645,1,28,16.0,1,0,6,60,783.0,7.0
48,1.0,0,0,44646,1,23,10.0,0,1,9,54,850.0,15.0
65,1.0,0,0,44647,0,16,20.0,1,0,2,42,211.0,10.0
51,1.0,0,0,44648,1,28,23.0,1,0,4,49,600.0,27.0
57,1.0,0,1,44649,1,28,28.0,0,1,0,22,874.0,29.0
28,1.0,1,0,44650,1,6,28.0,1,0,5,34,970.0,8.0
28,1.0,0,0,44651,0,7,22.0,1,0,3,43,231.0,14.0
21,1.0,1,0,44652,0,20,12.0,0,1,1,52,757.0,8.0
28,1.0,0,1,44653,1,2,25.0,0,1,7,35,610.0,12.0
28,1.0,1,0,44655,0,10,24.0,1,0,1,1,206.0,18.0
59,1.0,1,0,44656,1,22,8.0,1,0,0,36,556.0,3.0
39,1.0,0,0,44657,1,14,19.0,1,0,9,21,526.0,26.0
55,1.0,1,0,44658,0,14,6.0,0,0,10,33,848.0,10.0
47,1.0,0,1,44659,1,15,29.0,0,0,10,54,462.0,26.0
39,1.0,1,0,44660,1,18,6.0,0,0,9,12,494.0,17.0
61,1.0,0,1,44661,1,7,19.0,1,0,2,40,226.0,4.0
33,1.0,0,0,44662,0,21,20.0,0,1,7,13,215.0,25.0
21,1.0,0,1,44663,0,26,20.0,0,0,10,30,699.0,17.0
61,1.0,1,0,44664,0,5,3.0,1,0,3,16,315.0,21.0
34,1.0,0,0,44665,1,3,12.0,1,0,5,35,163.0,22.0
40,1.0,1,0,44666,0,6,12.0,1,0,10,50,118.0,25.0
52,1.0,0,0,44667,1,18,0.0,0,1,4,33,849.0,19.0
20,1.0,0,0,44668,0,24,14.0,0,1,2,56,737.0,23.0
34,1.0,0,1,44669,0,12,2.0,0,0,0,23,300.0,2.0
31,1.0,0,0,44670,1,20,10.0,1,0,9,24,715.0,15.0
52,1.0,0,1,44671,1,17,17.0,1,0,7,39,566.0,1.0
43,1.0,1,0,44672,0,3,2.0,0,1,2,9,567.0,20.0
60,1.0,1,0,44673,0,18,16.0,0,0,0,43,174.0,3.0
24,1.0,0,0,44674,1,17,2.0,0,0,8,60,364.0,30.0
54,1.0,0,0,44675,0,13,7.0,0,0,1,42,205.0,22.0
50,1.0,0,1,44676,1,28,5.0,0,1,9,56,585.0,14.0
19,1.0,0,1,44678,1,15,0.0,0,1,10,51,754.0,16.0
54,1.0,0,1,44679,0,18,25.0,0,0,5,12,921.0,15.0
52,1.0,1,0,44680,1,19,30.0,0,1,9,29,300.0,26.0
45,1.0,0,1,44681,1,30,11.0,0,0,3,28,161.0,1.0
44,1.0,0,0,44682,0,7,30.0,0,1,10,22,571.0,20.0
64,1.0,0,1,44684,0,25,4.0,0,1,9,54,946.0,30.0
49,1.0,0,0,44685,1,11,7.0,1,0,6,21,186.0,10.0
42,1.0,0,1,44686,0,18,18.0,1,0,0,55,196.0,8.0
58,1.0,1,0,44687,0,4,17.0,0,1,3,32,571.0,27.0
49,1.0,0,1,44688,0,29,30.0,0,1,0,35,689.0,20.0
40,1.0,0,1,44689,1,14,5.0,0,1,6,60,412.0,2.0
28,1.0,0,1,44690,1,30,14.0,0,0,9,16,856.0,9.0
56,1.0,0,1,44691,1,10,4.0,0,0,8,23,311.0,4.0
27,1.0,1,0,44692,1,8,3.0,0,1,6,2,775.0,3.0
35,1.0,0,0,44693,0,14,23.0,1,0,0,16,348.0,9.0
22,1.0,1,0,44695,1,3,26.0,0,1,5,38,884.0,12.0
39,1.0,0,1,44696,1,25,18.0,0,0,2,39,295.0,20.0
18,1.0,1,0,44697,1,26,9.0,0,0,3,12,259.0,24.0
34,1.0,0,0,44698,0,1,10.0,1,0,10,13,682.0,17.0
49,1.0,0,1,44699,0,6,27.0,0,1,1,36,559.0,16.0
50,1.0,1,0,44700,1,12,22.0,1,0,1,45,537.0,6.0
35,1.0,1,0,44701,0,12,9.0,0,0,0,26,802.0,5.0
47,1.0,0,1,44702,0,2,25.0,1,0,1,35,421.0,15.0
30,1.0,0,1,44703,1,7,24.0,0,1,6,58,450.0,15.0
56,1.0,0,1,44704,0,1,10.0,0,1,0,56,622.0,28.0
20,1.0,1,0,44705,0,23,24.0,0,0,8,45,508.0,9.0
32,1.0,1,0,44706,1,2,22.0,0,0,6,22,745.0,4.0
30,1.0,0,0,44707,0,19,20.0,1,0,7,11,875.0,20.0
56,1.0,1,0,44708,1,25,23.0,1,0,10,13,214.0,22.0
29,1.0,0,0,44709,0,25,14.0,0,0,10,55,540.0,4.0
41,1.0,0,1,44710,0,24,7.0,1,0,4,34,246.0,19.0
34,1.0,0,1,44711,0,28,23.0,0,0,1,4,554.0,15.0
56,1.0,0,0,44712,1,21,2.0,0,1,5,13,777.0,28.0
22,1.0,1,0,44713,0,11,18.0,0,1,1,8,726.0,20.0
40,1.0,1,0,44714,0,2,12.0,0,1,3,1,926.0,4.0
63,1.0,0,1,44715,1,9,9.0,0,0,1,50,963.0,27.0
18,1.0,1,0,44716,1,10,2.0,0,1,0,33,479.0,20.0
