Age,Churn,Contract Length_Monthly,Contract Length_Quarterly,CustomerID,Gender_Male,Last Interaction,Payment Delay,Subscription Type_Premium,Subscription Type_Standard,Support Calls,Tenure,Total Spend,Usage Frequency
50,0.0,0,0,271615,1,13,3.0,0,1,3,20,526.46,17.0
25,0.0,0,1,271616,0,3,2.0,0,1,2,52,524.22,7.0
35,0.0,0,1,271617,0,6,14.0,0,0,3,55,510.42,20.0
32,0.0,0,1,271618,0,14,15.0,0,0,2,15,954.17,30.0
48,0.0,0,0,271619,1,20,17.0,1,0,2,32,553.73,29.0
37,0.0,0,1,271620,0,1,5.0,0,1,1,45,954.94,18.0
36,0.0,0,1,271621,0,3,7.0,0,1,0,51,632.3,2.0
45,0.0,0,1,271622,1,30,13.0,0,0,3,32,883.72,3.0
49,0.0,0,1,271623,0,5,8.0,0,0,2,27,993.56,10.0
47,0.0,0,1,271624,1,9,20.0,1,0,4,52,850.01,30.0
29,0.0,0,1,271625,0,3,13.0,0,1,2,36,879.84,1.0
41,0.0,0,0,271626,1,29,4.0,0,1,3,38,657.32,16.0
40,0.0,0,1,271627,1,10,18.0,1,0,4,8,892.96,15.0
47,0.0,0,0,271628,1,6,16.0,0,0,1,15,913.76,11.0
45,0.0,0,1,271629,0,6,2.0,0,1,0,42,583.91,7.0
25,0.0,0,0,271630,1,20,3.0,1,0,0,7,507.81,14.0
43,0.0,0,0,271631,1,27,14.0,1,0,1,56,931.06,6.0
22,0.0,0,1,271632,1,15,6.0,0,0,1,39,837.3,7.0
18,0.0,0,1,271633,0,2,9.0,0,0,0,21,824.0,13.0
49,0.0,0,0,271634,0,12,16.0,1,0,4,13,645.85,17.0
46,0.0,0,0,271635,0,3,13.0,1,0,0,5,860.38,30.0
23,0.0,0,1,271636,0,3,11.0,0,1,1,42,898.99,26.0
39,0.0,0,0,271637,0,14,1.0,0,0,1,29,813.08,10.0
43,0.0,0,0,271638,0,8,20.0,0,1,0,32,947.08,27.0
30,0.0,0,1,271639,1,23,6.0,1,0,2,4,543.81,23.0
46,0.0,0,1,271640,1,27,0.0,0,1,4,4,971.27,15.0
43,0.0,0,1,271641,1,23,0.0,0,1,2,60,919.14,22.0
21,0.0,0,1,271642,1,12,5.0,1,0,0,2,696.05,30.0
50,0.0,0,1,271643,0,5,3.0,1,0,3,36,538.06,10.0
32,0.0,0,0,271644,1,9,6.0,1,0,1,54,913.02,19.0
35,0.0,0,1,271645,1,15,8.0,1,0,1,56,677.74,23.0
29,0.0,0,0,271646,1,7,2.0,0,1,0,44,692.93,10.0
20,0.0,0,0,271647,1,18,1.0,1,0,1,6,841.8,1.0
39,0.0,0,1,271648,0,11,20.0,0,1,2,29,986.2,15.0
47,0.0,0,0,271649,0,9,0.0,1,0,3,19,977.17,26.0
37,0.0,0,1,271650,1,8,8.0,1,0,2,43,586.43,14.0
35,0.0,0,0,271651,0,4,11.0,0,1,0,1,615.86,2.0
49,0.0,0,1,271652,0,14,5.0,0,0,3,23,936.32,28.0
43,0.0,0,0,271653,1,10,16.0,0,0,2,45,645.21,1.0
21,0.0,0,0,271654,1,16,20.0,0,1,0,6,660.61,7.0
