Age,Churn,Contract Length_Monthly,Contract Length_Quarterly,CustomerID,Gender_Male,Last Interaction,Payment Delay,Subscription Type_Premium,Subscription Type_Standard,Support Calls,Tenure,Total Spend,Usage Frequency
62,1.0,0,1,181146,1,6,30.0,1,0,7,31,243.0,25.0
51,1.0,1,0,181147,0,7,8.0,0,1,2,18,356.0,3.0
45,1.0,0,1,181148,0,20,3.0,0,1,4,20,661.0,11.0
42,1.0,1,0,181149,1,30,16.0,1,0,9,10,841.0,3.0
36,1.0,0,1,181150,0,30,4.0,1,0,7,44,330.0,4.0
64,1.0,1,0,181151,1,16,2.0,0,1,2,38,286.0,22.0
50,1.0,1,0,181152,0,30,5.0,0,1,9,46,866.0,20.0
18,1.0,0,0,181153,0,24,27.0,1,0,9,25,951.0,8.0
65,1.0,0,0,181154,1,30,26.0,0,1,3,50,420.0,23.0
52,1.0,1,0,181155,0,3,1.0,1,0,1,18,855.0,4.0
42,1.0,1,0,181156,1,27,3.0,0,0,5,2,760.0,18.0
26,1.0,0,0,181157,1,27,29.0,0,0,10,53,714.0,15.0
60,1.0,1,0,181158,0,11,12.0,0,1,4,24,448.0,27.0
44,1.0,0,1,181159,0,28,6.0,0,0,9,13,325.0,14.0
34,1.0,1,0,181160,1,9,18.0,0,0,1,1,519.0,8.0
49,0.0,0,1,181161,1,24,15.0,0,1,4,33,661.0,16.0
63,1.0,1,0,181162,0,26,25.0,0,1,8,46,368.0,25.0
21,1.0,1,0,181163,1,28,12.0,0,1,6,7,774.0,3.0
65,1.0,0,0,181164,0,25,14.0,0,0,8,18,827.0,19.0
30,1.0,1,0,181165,0,12,4.0,0,0,2,25,748.0,28.0
63,1.0,0,0,181166,1,28,23.0,0,0,4,15,116.0,13.0
33,1.0,0,0,181167,1,22,1.0,0,0,10,36,200.0,14.0
37,1.0,0,1,181168,1,17,2.0,1,0,8,8,693.0,27.0
53,1.0,0,0,181169,1,4,20.0,0,1,3,34,466.0,10.0
33,1.0,0,0,181170,1,16,10.0,0,0,10,54,892.0,5.0
57,1.0,0,1,181171,0,2,8.0,0,1,0,5,931.0,10.0
57,1.0,1,0,181172,1,24,14.0,0,0,10,38,414.0,10.0
46,0.0,0,1,181173,1,4,1.0,0,0,2,27,802.0,5.0
