Age,Churn,Contract Length_Monthly,Contract Length_Quarterly,CustomerID,Gender_Male,Last Interaction,Payment Delay,Subscription Type_Premium,Subscription Type_Standard,Support Calls,Tenure,Total Spend,Usage Frequency
32,0.0,0,0,359782,1,6,10.0,1,0,3,54,676.42,9.0
32,0.0,0,0,359783,0,10,16.0,0,0,1,33,542.49,4.0
44,0.0,0,0,359784,0,10,0.0,0,0,3,50,752.78,6.0
37,0.0,0,0,359785,0,6,15.0,0,0,0,58,756.25,16.0
45,0.0,0,0,359786,1,20,15.0,0,1,2,36,708.55,27.0
45,0.0,0,0,359787,0,5,7.0,0,1,3,48,774.26,30.0
41,0.0,0,1,359788,1,17,13.0,0,0,2,45,504.14,4.0
43,0.0,0,1,359789,1,1,9.0,1,0,4,52,761.09,21.0
26,0.0,0,0,359790,0,11,12.0,0,1,0,39,974.26,21.0
49,0.0,0,1,359791,1,17,19.0,0,1,1,31,635.21,10.0
25,0.0,0,0,359792,1,29,2.0,1,0,2,5,950.44,18.0
35,0.0,0,1,359793,1,4,16.0,1,0,2,50,653.09,14.0
26,0.0,0,1,359794,1,11,15.0,0,1,0,56,879.28,3.0
48,0.0,0,0,359795,0,1,4.0,0,0,0,12,918.48,15.0
41,0.0,0,0,359796,1,13,5.0,0,1,1,3,883.57,15.0
50,0.0,0,1,359797,1,28,13.0,1,0,1,1,860.52,21.0
24,0.0,0,1,359798,1,25,19.0,0,0,1,49,832.97,27.0
32,0.0,0,0,359799,0,5,16.0,0,0,1,46,623.34,10.0
22,0.0,0,0,359800,1,28,4.0,0,1,1,39,659.38,10.0
50,0.0,0,0,359801,1,28,0.0,0,1,5,47,882.97,22.0
37,0.0,0,1,359802,0,4,0.0,0,0,1,31,963.46,1.0
44,0.0,0,0,359803,0,9,17.0,1,0,2,60,538.09,8.0
50,0.0,0,0,359804,1,22,19.0,0,1,1,42,839.48,23.0
33,0.0,0,1,359805,1,19,5.0,0,0,2,35,715.27,24.0
46,0.0,0,0,359806,1,7,10.0,0,0,1,15,991.79,18.0
45,0.0,0,1,359807,0,14,20.0,1,0,1,56,568.26,2.0
47,0.0,0,1,359808,0,13,18.0,0,0,1,32,735.53,14.0
26,0.0,0,0,359809,1,8,9.0,0,1,0,6,783.73,29.0
41,0.0,0,0,359810,0,12,15.0,0,0,1,48,763.06,29.0
27,0.0,0,1,359811,0,13,13.0,0,1,1,3,824.69,5.0
36,0.0,0,0,359812,0,8,11.0,0,1,2,35,561.23,17.0
27,0.0,0,0,359813,1,24,10.0,0,0,0,49,706.12,17.0
35,0.0,0,1,359814,1,4,6.0,0,1,1,13,642.05,15.0
30,0.0,0,0,359815,1,5,0.0,0,1,2,31,938.83,3.0
32,0.0,0,1,359816,1,24,12.0,0,0,1,60,828.33,22.0
47,0.0,0,1,359817,0,1,16.0,0,0,1,16,632.47,13.0
40,0.0,0,0,359818,1,11,14.0,0,0,0,45,623.52,28.0
46,0.0,0,0,359819,1,8,17.0,0,0,3,48,588.39,4.0
24,0.0,0,0,359820,0,13,18.0,0,1,1,58,978.76,24.0
30,0.0,0,1,359821,1,19,18.0,0,1,0,59,514.21,14.0
33,0.0,0,1,359822,1,30,15.0,1,0,3,28,907.41,16.0
43,0.0,0,1,359823,0,8,12.0,0,1,0,13,841.22,25.0
35,0.0,0,1,359824,1,18,20.0,1,0,3,40,611.71,3.0
44,0.0,0,1,359825,1,9,3.0,0,1,3,41,642.65,29.0
40,0.0,0,0,359826,1,10,3.0,0,1,1,8,709.23,17.0
43,0.0,0,1,359827,1,24,10.0,0,0,0,26,831.97,10.0
50,0.0,0,0,359828,1,18,9.0,0,1,3,2,970.37,18.0
49,0.0,0,0,359829,0,10,12.0,1,0,0,27,992.02,26.0
38,0.0,0,1,359830,0,5,15.0,1,0,1,11,529.24,4.0
40,0.0,0,1,359831,1,25,5.0,1,0,4,44,973.06,17.0
21,0.0,0,0,359832,1,27,16.0,1,0,1,43,723.49,12.0
35,0.0,0,1,359833,0,4,10.0,1,0,3,46,973.7,1.0
20,0.0,0,1,359834,0,9,2.0,1,0,0,1,927.67,9.0
47,0.0,0,0,359835,0,2,3.0,0,1,0,32,875.38,13.0
41,0.0,0,0,359836,1,11,11.0,0,1,2,51,901.27,30.0
36,0.0,0,1,359837,1,10,5.0,0,1,1,25,653.65,22.0
48,0.0,0,0,359838,1,16,6.0,0,0,4,57,748.58,27.0
36,0.0,0,1,359839,1,16,9.0,0,0,1,18,596.12,22.0
38,0.0,0,0,359840,1,29,11.0,0,0,3,14,988.42,26.0
29,0.0,0,1,359841,0,11,1.0,1,0,1,40,930.42,25.0
26,0.0,0,1,359842,1,25,5.0,0,1,1,37,814.02,13.0
46,0.0,0,0,359843,0,1,9.0,0,1,0,56,674.48,18.0
48,0.0,0,0,359844,1,29,1.0,1,0,2,1,863.06,23.0
