Age,Churn,Contract Length_Monthly,Contract Length_Quarterly,CustomerID,Gender_Male,Last Interaction,Payment Delay,Subscription Type_Premium,Subscription Type_Standard,Support Calls,Tenure,Total Spend,Usage Frequency
45,0.0,0,1,403865,1,9,17.0,1,0,3,3,613.3,16.0
49,0.0,0,0,403866,1,20,4.0,0,0,4,15,576.97,12.0
35,0.0,0,1,403867,1,25,9.0,1,0,2,26,763.6,17.0
41,0.0,0,0,403868,0,11,11.0,0,1,3,51,696.06,6.0
44,0.0,0,0,403869,0,9,6.0,1,0,1,3,565.33,15.0
26,0.0,0,0,403870,0,1,2.0,1,0,2,2,790.96,16.0
48,0.0,0,1,403871,0,8,12.0,0,0,1,9,745.44,3.0
50,0.0,0,1,403872,1,28,5.0,0,0,0,17,661.14,10.0
47,0.0,0,0,403873,0,6,12.0,1,0,3,58,742.18,3.0
49,0.0,0,1,403874,0,4,20.0,0,0,4,41,626.73,12.0
50,0.0,0,1,403875,0,10,8.0,1,0,3,56,655.83,20.0
28,0.0,0,0,403876,1,6,3.0,1,0,1,25,827.43,20.0
44,0.0,0,1,403877,1,23,15.0,1,0,3,47,538.91,21.0
34,0.0,0,1,403878,0,15,2.0,0,1,0,49,687.86,1.0
49,0.0,0,1,403879,0,7,15.0,0,1,4,51,984.15,20.0
45,0.0,0,0,403880,1,29,13.0,0,0,1,20,884.81,19.0
26,0.0,0,0,403881,1,26,4.0,0,1,2,48,698.14,10.0
37,0.0,0,0,403882,0,3,6.0,1,0,0,46,849.22,26.0
42,0.0,0,0,403883,0,12,16.0,0,0,3,41,607.94,1.0
47,0.0,0,1,403884,1,29,4.0,1,0,3,57,985.34,12.0
19,0.0,0,0,403885,1,2,18.0,0,0,1,48,550.82,16.0
30,0.0,0,1,403886,1,14,8.0,0,1,3,39,789.7,23.0
43,0.0,0,0,403887,0,4,5.0,1,0,2,10,909.65,26.0
34,0.0,0,0,403888,1,6,11.0,0,1,3,59,777.22,12.0
31,0.0,0,0,403889,1,10,5.0,0,1,3,5,710.04,28.0
38,0.0,0,1,403890,1,16,8.0,0,1,3,4,744.37,29.0
41,0.0,0,0,403891,0,10,1.0,1,0,3,48,647.13,26.0
37,0.0,0,0,403892,1,17,3.0,0,0,3,17,791.7,28.0
34,0.0,0,1,403893,1,24,9.0,0,0,2,31,988.55,30.0
48,0.0,0,0,403894,1,11,1.0,0,0,3,20,878.72,17.0
42,0.0,0,1,403895,1,10,4.0,1,0,1,27,554.62,8.0
38,0.0,0,0,403896,0,7,9.0,0,1,2,30,846.86,17.0
34,0.0,0,0,403897,1,27,6.0,0,1,0,48,979.78,19.0
34,0.0,0,0,403898,1,27,10.0,0,1,2,47,538.47,25.0
35,0.0,0,1,403899,0,14,16.0,1,0,2,40,947.93,22.0
41,0.0,0,0,403900,1,19,7.0,1,0,1,58,672.35,26.0
40,0.0,0,1,403901,0,15,19.0,0,1,4,51,932.7,20.0
28,0.0,0,0,403902,0,13,12.0,0,0,1,44,976.01,15.0
